"V1","V2","V3"
"1","blank","1","1"
"2","lossf","0.923076923076923","2"
"3","Rlr","0.846153846153846","3"
"4","quantiles","0.769230769230769","4"
"5","center.mean","0.692307692307692","5"
"6","center.median","0.615384615384615","6"
"7","quantiles.robust","0.538461538461538","7"
"8","TIC","0.461538461538462","8"
"9","MBQN","0.384615384615385","9"
"10","vsn","0.307692307692308","10"
"11","max","0.230769230769231","11"
"12","div.mean","0.153846153846154","12"
"13","div.median","0.0769230769230769","13"
"14","sum","0","14"
